VRF name,Prefix,RT values
maxis_MC_AUP,10.222.130.0/24,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60083, 65535:60201, 65535:60382, 65535:60384, 65535:60601, 65535:60881, 65535:60921, 65535:60961, 65535:60963, 65535:60965, 65535:61072, 65535:61074, 65535:61481, 65535:61722, 65535:62522, 65535:62981, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_MC_AUP,10.225.18.0/24,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60085, 65535:60201, 65535:60382, 65535:60601, 65535:60921, 65535:60965, 65535:62522, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_MC_AUP,10.225.64.64/26,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60085, 65535:60201, 65535:60382, 65535:60601, 65535:60921, 65535:60965, 65535:62522, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_MC_AUP,10.228.65.64/26,"65536:62622, 65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60201, 65535:60382, 65535:60601, 65535:60921, 65535:60963, 65535:61722, 65535:62202, 65535:63122, 65535:64861, 65535:65862, 65535:65942, 65535:66382, 65535:66501"
maxis_MC_AUP,10.228.130.0/24,"65535:11050, 65535:60021, 65535:60041, 65535:60201, 65535:60382, 65535:60601, 65535:60923, 65535:60963, 65535:62202, 65535:63122, 65535:64861, 65535:66382"
maxis_MC_AUP,10.228.135.0/26,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60201, 65535:60382, 65535:60601, 65535:60923, 65535:60963, 65535:61722, 65535:62202, 65535:62622, 65535:63122, 65535:64861, 65535:65862, 65535:65942, 65535:66382, 65535:66501"
maxis_MC_AUP,10.230.18.0/24,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60085, 65535:60201, 65535:60382, 65535:60601, 65535:60921, 65535:60965, 65535:62522, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_MC_AUP,10.230.129.64/26,"65535:11050, 65535:26302, 65535:60021, 65535:60041, 65535:60081, 65535:60085, 65535:60201, 65535:60382, 65535:60601, 65535:60921, 65535:60965, 65535:62522, 65535:63302, 65535:63362, 65535:64663, 65535:64861, 65535:65521, 65535:65862, 65535:66382, 65535:66501"
maxis_MC_AUP,10.231.28.128/26,"65535:60960, 65535:60962, 65535:60964, 65535:66381"
maxis_MC_AUP,10.231.28.192/29,"65535:60960, 65535:60962, 65535:60964"
