VRF name,Prefix,RT values
maxis_MC_ACP,10.48.18.109/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.110/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.111/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.112/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.113/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.114/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.115/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.116/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.121/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.122/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.123/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.124/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.125/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.144/31,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.146/31,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.156/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.157/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.158/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.159/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.160/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.161/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.162/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.163/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.164/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.165/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.166/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.167/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.168/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.169/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.170/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.171/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.172/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.173/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.174/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.175/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.176/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.179/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.180/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.181/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.182/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.183/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.184/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.185/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.186/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.187/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.48.18.188/32,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.50.10.12/30,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.50.10.20/30,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.50.10.64/30,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.57.3.41/32,"65104:63722, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.57.3.42/32,"65104:63722, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.57.3.49/32,"65123:63722, 65123:65882, 65133:63722, 65133:65882, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.57.3.50/32,"65123:63722, 65123:65882, 65133:63722, 65133:65882, 65535:60900, 65535:60902, 65535:60904, 65535:66361"
maxis_MC_ACP,10.57.3.57/32,"65535:11250, 65535:60900, 65535:60902, 65535:60904"
maxis_MC_ACP,10.57.3.58/32,"65535:11250, 65535:60900, 65535:60902, 65535:60904"
maxis_MC_ACP,10.99.15.0/27,"65535:311, 65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945, 65535:61062"
maxis_MC_ACP,10.99.15.32/27,"65535:311, 65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945, 65535:61062"
maxis_MC_ACP,10.99.22.0/28,"65535:311, 65535:11250, 65535:60063, 65535:60065, 65535:60284, 65535:60943, 65535:60945"
maxis_MC_ACP,10.99.22.16/28,"65535:311, 65535:11250, 65535:60063, 65535:60065, 65535:60284, 65535:60943, 65535:60945"
maxis_MC_ACP,10.99.26.0/28,"65535:311, 65535:11250, 65535:60061, 65535:60063, 65535:60065, 65535:60067, 65535:60284, 65535:60943, 65535:60945, 65535:64663"
maxis_MC_ACP,10.99.26.16/28,"65535:311, 65535:11250, 65535:60061, 65535:60063, 65535:60065, 65535:60067, 65535:60284, 65535:60943, 65535:60945, 65535:64663"
maxis_MC_ACP,10.100.54.40/29,"65535:11250, 65535:60900, 65535:60902, 65535:60904, 65535:60946, 65535:65881"
maxis_MC_ACP,10.100.58.16/30,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.100.58.28/30,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.100.58.80/30,"65535:11250, 65535:60061, 65535:60901, 65535:60943, 65535:60945"
maxis_MC_ACP,10.124.22.1/32,"65535:11250, 65535:60063, 65535:60943, 65535:60945, 65535:61501, 65535:64663"
maxis_MC_ACP,10.124.22.2/32,"65535:11250, 65535:60063, 65535:60943, 65535:60945, 65535:61501, 65535:64663"
maxis_MC_ACP,10.124.22.9/32,"65535:11250, 65535:60063, 65535:60065, 65535:60284, 65535:60943, 65535:60945"
maxis_MC_ACP,10.124.22.10/32,"65535:11250, 65535:60063, 65535:60065, 65535:60284, 65535:60943, 65535:60945"
maxis_MC_ACP,10.124.22.21/32,"65535:11250, 65535:60061, 65535:60063, 65535:60065, 65535:60067, 65535:60284, 65535:60943, 65535:60945, 65535:64663"
maxis_MC_ACP,10.124.22.22/32,"65535:11250, 65535:60061, 65535:60063, 65535:60065, 65535:60067, 65535:60284, 65535:60943, 65535:60945, 65535:64663"
