+++ KPGUER01-ASR9K with via 'cli': executing command 'show ip interface brief' +++
show ip interface brief
Wed Jun  5 20:07:44.448 MYT

Interface                      IP-Address      Status          Protocol Vrf-Name
Bundle-Ether10.1408            10.221.34.1     Shutdown        Down     CN      
Bundle-Ether10.1410            10.221.33.3     Shutdown        Down     SIGTRAN 
Bundle-Ether10.1420            10.222.129.1    Shutdown        Down     SIGTRAN 
Bundle-Ether10.1421            10.221.32.221   Shutdown        Down     SIGTRAN 
Bundle-Ether10.1424            10.230.129.1    Shutdown        Down     SIGTRAN 
Bundle-Ether10.1440            10.221.204.11   Shutdown        Down     SIGTRAN 
Bundle-Ether10.1451            unassigned      Shutdown        Down     default 
Bundle-Ether10.1502            10.221.33.125   Shutdown        Down     SIGTRAN 
Bundle-Ether130.100            10.151.81.98    Up              Up       UNIP_OM 
Bundle-Ether130.110            10.151.81.46    Shutdown        Down     A_CP_Digi
Bundle-Ether130.120            10.151.81.34    Shutdown        Down     A_Digi  
Bundle-Ether130.130            10.151.81.62    Up              Up       Digi_IuCS_UP
Bundle-Ether130.140            10.151.81.66    Up              Up       Digi_IuPS_CP
Bundle-Ether130.150            10.151.81.70    Up              Up       Digi_IuPS_UP
Bundle-Ether130.160            10.151.81.42    Shutdown        Down     GB_Digi 
Bundle-Ether130.170            10.151.81.50    Up              Up       P1_IuPS_CP
Bundle-Ether130.180            10.151.81.54    Up              Up       P1_IuPS_UP
Bundle-Ether130.190            10.151.81.58    Up              Up       P1_Sigtran
Bundle-Ether130.200            10.151.81.38    Up              Up       P1_Sip  
Bundle-Ether130.201            10.200.135.61   Up              Up       ENT_TNB_MFFA
Bundle-Ether130.210            10.151.81.74    Shutdown        Down     Webe_LTE_MOCN
Bundle-Ether130.220            10.151.81.82    Up              Up       OM_FMC  
Bundle-Ether130.230            10.151.81.78    Up              Up       SD      
Bundle-Ether130.240            10.151.81.90    Up              Up       POI_tunetalk_bidd
Bundle-Ether130.250            10.151.81.94    Up              Up       POI_umobile_interconnect
Bundle-Ether130.255            10.151.81.86    Up              Up       POI_P1_Media
Bundle-Ether200.200            20.192.0.49     Up              Up       CD_ABIS 
Bundle-Ether200.201            20.192.0.51     Up              Up       CD_X2   
Bundle-Ether200.202            20.192.0.53     Up              Up       CD_S1C  
Bundle-Ether200.203            20.192.0.55     Up              Up       CD_S1U  
Bundle-Ether200.204            20.192.0.57     Up              Up       CD_OM   
Bundle-Ether200.205            20.192.0.59     Up              Up       CD_A_CP 
Bundle-Ether200.206            20.192.0.61     Up              Up       CD_A_UP 
Bundle-Ether200.207            20.192.0.63     Up              Up       CD_GB   
Bundle-Ether200.210            20.193.0.129    Up              Up       CD_SFW_om
Bundle-Ether200.211            20.193.0.131    Up              Up       CD_SFW_prod
Bundle-Ether200.212            20.193.0.133    Up              Up       CD_OSS  
Bundle-Ether200.214            20.193.0.137    Up              Up       CD_GTP  
Bundle-Ether200.215            20.193.0.139    Up              Up       CD_GI_IMS
Bundle-Ether200.216            20.193.0.141    Up              Up       CD_GI_MMS
Bundle-Ether200.217            20.193.0.143    Up              Up       CD_SIG  
Bundle-Ether200.218            20.193.0.145    Up              Up       CD_TR069
Bundle-Ether200.219            20.193.0.147    Up              Up       CD_PCF_SMS
Bundle-Ether200.220            20.193.0.149    Up              Up       CD_BOSS 
Bundle-Ether200.521            unassigned      Up              Up       default 
Bundle-Ether200.523            unassigned      Up              Up       default 
Bundle-Ether130.1010           10.159.204.145  Up              Up       ENT_Government
Bundle-Ether130.1101           10.151.81.6     Up              Up       Digi_IuCS_CP
Bundle-Ether130.1102           10.151.81.206   Up              Up       maxis_IuCS_CP
Bundle-Ether130.1103           10.151.81.214   Up              Up       maxis_IuCS
Bundle-Ether130.1104           10.151.81.222   Up              Up       maxis_A_CP
Bundle-Ether130.1105           10.151.81.230   Up              Up       maxis_A 
Bundle-Ether130.1106           10.151.81.238   Up              Up       maxis_IuPS_CP
Bundle-Ether130.1107           10.151.81.246   Up              Up       maxis_IuPS
Bundle-Ether130.1108           10.151.81.2     Up              Up       maxis_Gb
Bundle-Ether130.1109           10.151.66.106   Up              Up       maxis_S1C_MOCN
Bundle-Ether130.1110           10.151.66.110   Up              Up       maxis_S1U_MOCN
Bundle-Ether130.1111           10.151.66.114   Up              Up       maxis_OAM_MOCN
Bundle-Ether130.1112           10.151.81.222   Up              Up       maxis_MC_ACP
Bundle-Ether130.1113           10.151.81.230   Up              Up       maxis_MC_AUP
Bundle-Ether130.1114           10.151.81.2     Up              Up       maxis_MC_Gb
